Angle: +21.80, BaseSpeed: +06.06, Error: -06.00, DerivativeError: +00.00, DeltaSpeed: -01.19
Angle: +21.80, BaseSpeed: +06.06, Error: -06.00, DerivativeError: +00.00, DeltaSpeed: -01.25
Angle: +21.80, BaseSpeed: +06.06, Error: -05.00, DerivativeError: +01.00, DeltaSpeed: -01.25
Angle: +21.80, BaseSpeed: +06.06, Error: -05.00, DerivativeError: +00.00, DeltaSpeed: -01.30
Angle: +24.23, BaseSpeed: +06.04, Error: -04.00, DerivativeError: +01.00, DeltaSpeed: -01.29
Angle: +24.23, BaseSpeed: +06.04, Error: -05.00, DerivativeError: -01.00, DeltaSpeed: -01.39
Angle: +26.57, BaseSpeed: +06.01, Error: -06.00, DerivativeError: -01.00, DeltaSpeed: -01.50
Angle: +33.02, BaseSpeed: +05.95, Error: -16.00, DerivativeError: -10.00, DeltaSpeed: -02.16
Angle: +33.02, BaseSpeed: +05.95, Error: -10.00, DerivativeError: +06.00, DeltaSpeed: -01.96
Angle: +34.99, BaseSpeed: +05.93, Error: -11.00, DerivativeError: -01.00, DeltaSpeed: -02.12
Angle: +57.17, BaseSpeed: +05.71, Error: -21.00, DerivativeError: -10.00, DeltaSpeed: -02.83
Angle: +55.41, BaseSpeed: +05.73, Error: -18.00, DerivativeError: +03.00, DeltaSpeed: -02.86
Angle: +47.73, BaseSpeed: +05.80, Error: -11.00, DerivativeError: +07.00, DeltaSpeed: -02.62
Angle: +60.95, BaseSpeed: +05.67, Error: -18.00, DerivativeError: -07.00, DeltaSpeed: -03.15
Angle: +69.68, BaseSpeed: +05.58, Error: -29.00, DerivativeError: -11.00, DeltaSpeed: -03.99
Angle: +64.54, BaseSpeed: +05.63, Error: -19.00, DerivativeError: +10.00, DeltaSpeed: -03.68
Angle: +55.41, BaseSpeed: +05.73, Error: -09.00, DerivativeError: +10.00, DeltaSpeed: -03.27
Angle: +68.20, BaseSpeed: +05.60, Error: -21.00, DerivativeError: -12.00, DeltaSpeed: -04.08
Angle: +70.35, BaseSpeed: +05.58, Error: -28.00, DerivativeError: -07.00, DeltaSpeed: -04.71
Angle: +64.00, BaseSpeed: +05.64, Error: -14.00, DerivativeError: +14.00, DeltaSpeed: -04.15
Angle: +62.85, BaseSpeed: +05.65, Error: -11.00, DerivativeError: +03.00, DeltaSpeed: -04.11
Angle: +68.96, BaseSpeed: +05.59, Error: -19.00, DerivativeError: -08.00, DeltaSpeed: -04.70
Angle: +69.68, BaseSpeed: +05.58, Error: -21.00, DerivativeError: -02.00, DeltaSpeed: -05.01
Angle: +56.31, BaseSpeed: +05.72, Error: -04.00, DerivativeError: +17.00, DeltaSpeed: -04.20
Angle: +52.43, BaseSpeed: +05.76, Error: -03.00, DerivativeError: +01.00, DeltaSpeed: -04.18
Angle: +64.54, BaseSpeed: +05.63, Error: -11.00, DerivativeError: -08.00, DeltaSpeed: -04.69
Angle: +68.59, BaseSpeed: +05.59, Error: -15.00, DerivativeError: -04.00, DeltaSpeed: -05.04
Angle: +52.43, BaseSpeed: +05.76, Error: -02.00, DerivativeError: +13.00, DeltaSpeed: -04.41
Angle: +47.73, BaseSpeed: +05.80, Error: -01.00, DerivativeError: +01.00, DeltaSpeed: -04.37
Angle: +62.24, BaseSpeed: +05.66, Error: -07.00, DerivativeError: -06.00, DeltaSpeed: -04.74
Angle: +64.54, BaseSpeed: +05.63, Error: -09.00, DerivativeError: -02.00, DeltaSpeed: -04.93
Angle: +43.53, BaseSpeed: +05.84, Error: +00.00, DerivativeError: +09.00, DeltaSpeed: -04.48
Angle: +40.36, BaseSpeed: +05.88, Error: +03.00, DerivativeError: +03.00, DeltaSpeed: -04.30
Angle: +59.53, BaseSpeed: +05.68, Error: -05.00, DerivativeError: -08.00, DeltaSpeed: -04.75
Angle: +62.85, BaseSpeed: +05.65, Error: -09.00, DerivativeError: -04.00, DeltaSpeed: -05.04
Angle: +41.99, BaseSpeed: +05.86, Error: +03.00, DerivativeError: +12.00, DeltaSpeed: -04.41
Angle: +40.36, BaseSpeed: +05.88, Error: +06.00, DerivativeError: +03.00, DeltaSpeed: -04.20
Angle: +57.17, BaseSpeed: +05.71, Error: -06.00, DerivativeError: -12.00, DeltaSpeed: -04.86
Angle: +60.95, BaseSpeed: +05.67, Error: -09.00, DerivativeError: -03.00, DeltaSpeed: -05.10
Angle: +43.53, BaseSpeed: +05.84, Error: +06.00, DerivativeError: +15.00, DeltaSpeed: -04.29
Angle: +38.66, BaseSpeed: +05.89, Error: +10.00, DerivativeError: +04.00, DeltaSpeed: -03.99
Angle: +52.43, BaseSpeed: +05.76, Error: -07.00, DerivativeError: -17.00, DeltaSpeed: -04.91
Angle: +57.17, BaseSpeed: +05.71, Error: -11.00, DerivativeError: -04.00, DeltaSpeed: -05.22
Angle: +41.99, BaseSpeed: +05.86, Error: +09.00, DerivativeError: +20.00, DeltaSpeed: -04.13
Angle: +36.87, BaseSpeed: +05.91, Error: +13.00, DerivativeError: +04.00, DeltaSpeed: -03.80
Angle: +46.40, BaseSpeed: +05.82, Error: -06.00, DerivativeError: -19.00, DeltaSpeed: -04.81
Angle: +52.43, BaseSpeed: +05.76, Error: -11.00, DerivativeError: -05.00, DeltaSpeed: -05.17
Angle: +38.66, BaseSpeed: +05.89, Error: +13.00, DerivativeError: +24.00, DeltaSpeed: -03.84
Angle: +38.66, BaseSpeed: +05.89, Error: +13.00, DerivativeError: +00.00, DeltaSpeed: -03.71
Angle: +45.00, BaseSpeed: +05.83, Error: -06.00, DerivativeError: -19.00, DeltaSpeed: -04.72
Angle: +43.53, BaseSpeed: +05.84, Error: -02.00, DerivativeError: +04.00, DeltaSpeed: -04.54
Angle: +25.35, BaseSpeed: +06.03, Error: +20.00, DerivativeError: +22.00, DeltaSpeed: -03.24
