Time,SetPointAngle,SensorAngleRow,SensorAngleWidth,Angle,IntegralAngle,DeltaAngle,BaseSpeed,SetPointError,SensorErrorRow,SensorErrorWidth,Error,IntegralError,DeltaError,DeltaSpeed,LeftSpeed,RightSpeed,X,Y,Z,Roll,Pitch,Yaw
0.032,0,4,1,1.181188913326966,1.181188913326966,1.181188913326966,5.5,160,9,1,-5,-5,-5,-0.45749999999999996,5.0425,5.9575,-0.01906340000000063,0.01816209999999909,-6.396729917784554e-05,4.6299602390096686e-08,-6.323787631613885e-08,9.779363589244984
0.064,0,4,1,5.885987833028316,7.0671767463552815,4.70479891970135,5.5,160,9,1,-3,-8,2,-0.26699999999999996,5.233,5.767,-0.021535798457815464,0.0206261017032253,-2.664246479836506e-05,4.09982038995239,-0.030447406583324396,9.614384220944665
0.096,0,4,1,5.885987833028316,12.953164579383596,0.0,5.5,160,9,1,-1,-9,2,-0.12450000000000001,5.3755,5.6245,-0.024050665474707588,0.02306812485219638,-6.110424713955294e-05,0.3589120642996362,0.03557118157268651,9.711351908424197
0.128,0,4,1,5.885987833028316,18.839152412411913,0.0,5.5,160,9,1,0,-9,1,-0.0585,5.4415,5.5585,-0.02658954538482835,0.025507468476023146,-7.523176430216695e-05,-0.0036531442319119732,0.01933723005481869,9.858468754702665
0.16,0,4,1,6.469819985173149,25.308972397585062,0.5838321521448329,5.5,160,9,1,1,-8,1,0.024,5.524,5.476,-0.029134128815673985,0.027939646625986324,-6.917706994562234e-05,0.16004541218213036,0.010416886607754078,9.845631533967826
0.192,0,4,1,7.0523060078411755,32.36127840542624,0.5824860226680268,5.5,160,9,1,1,-7,0,0.0225,5.5225,5.4775,-0.03168042432423396,0.030368036796228907,-6.909867503693441e-05,0.07175265006139198,0.004879740484098327,9.796724353724523
0.224,0,4,1,5.885987833028316,38.24726623845456,-1.1663181748128597,5.5,160,9,1,4,-3,3,0.3045,5.8045,5.1955,-0.03422536151358132,0.03279952158896189,-6.891171878240648e-05,-0.017574489924853692,-0.0009816497712964855,9.81663558728895
0.256,0,4,1,5.300926516525713,43.54819275498027,-0.5850613165026024,5.5,160,9,1,4,1,0,0.3075,5.8075,5.1925,-0.03676828555914712,0.03523265487309715,-6.757150129947653e-05,-0.018126632821315426,9.920244574150205e-05,9.791305883117483
0.28800000000000003,0,4,1,5.885987833028316,49.43418058800859,0.5850613165026024,5.5,160,9,1,2,3,-2,0.1545,5.6545,5.3455,-0.0392925218358773,0.03768601670506872,-6.689388799835036e-05,-0.0148231248418895,-0.023889264311856968,9.789508461332696
0.32,0,4,1,6.469819985173149,55.90400057318173,0.5838321521448329,5.5,160,9,1,1,4,-1,0.096,5.596,5.404,-0.0417975484315062,0.040159287519799115,-6.648766771269465e-05,-0.012476602546251147,-0.024080410965664278,9.775717864758052
