Time,SetPointAngle,SensorAngleRow,SensorAngleWidth,Angle,IntegralAngle,DeltaAngle,BaseSpeed,SetPointError,SensorErrorRow,SensorErrorWidth,Error,IntegralError,DeltaError,DeltaSpeed,LeftSpeed,RightSpeed,X,Y,Z,Roll,Pitch,Yaw
0.032,0,4,1,1.181188913326966,1.181188913326966,1.181188913326966,6.219759365420325,160,9,1,-5,-5,-5,-0.45749999999999996,5.762259365420325,6.28,-0.01906340000000063,0.01816209999999909,-6.396729917784554e-05,4.6299602390096686e-08,-6.323787631613885e-08,9.779363589244984
0.064,0,4,1,5.885987833028316,7.0671767463552815,4.70479891970135,5.980995809428883,160,9,1,-4,-9,1,-0.3585,5.622495809428883,6.28,-0.021778386389056662,0.020871878137079775,-1.891020032143524e-05,4.50421145907164,-0.018927619184686023,9.574595624346754
0.096,0,4,1,5.885987833028316,12.953164579383596,0.0,5.985700608348584,160,9,1,-2,-11,2,-0.2145,5.771200608348584,6.2002006083485846,-0.024484744219139345,0.023525723013702763,-6.090274661887593e-05,0.3326300494733619,0.02751331013408689,9.691796323143754
0.128,0,4,1,5.885987833028316,18.839152412411913,0.0,5.985700608348584,160,9,1,0,-11,2,-0.06449999999999999,5.921200608348585,6.050200608348584,-0.027238634139048833,0.026190086303743424,-7.768572916584844e-05,0.02421031873700752,0.02738191781567336,9.863188269997776
0.16,0,4,1,7.0523060078411755,25.891458420253088,1.1663181748128597,5.926218381433128,160,9,1,0,-11,0,-0.08249999999999999,5.843718381433129,6.008718381433128,-0.03000415897855302,0.02884101989466149,-7.044848999051591e-05,0.17776522996137784,0.020768796311406372,9.84769714872858
0.192,0,4,1,7.0523060078411755,32.94376442809426,0.0,5.927384699607941,160,9,1,2,-9,2,0.10049999999999999,6.027884699607942,5.826884699607941,-0.03274610009161639,0.031461487108573376,-7.045734840254933e-05,0.046143233478289726,0.007725261754474829,9.795370597771916
0.224,0,4,1,5.300926516525713,38.244690944619975,-1.7513794913154621,6.01670505366503,160,9,1,5,-4,3,0.372,6.28,5.64470505366503,-0.035492518600491824,0.03407782789510324,-7.01303344406868e-05,-0.01629741159057518,0.009535744023591987,9.816873386270496
0.256,0,4,1,5.885987833028316,44.13067877764829,0.5850613165026024,5.985115547032081,160,9,1,4,0,-1,0.291,6.276115547032082,5.694115547032081,-0.03824807756990774,0.036716735728749415,-6.848752739486812e-05,0.0058046815381297395,-0.0058352669254782006,9.791386235480779
0.28800000000000003,0,4,1,6.469819985173149,50.60049876282144,0.5838321521448329,5.955925168589197,160,9,1,2,2,-2,0.147,6.102925168589198,5.808925168589197,-0.04099288414201303,0.039388748379221225,-6.762086536971079e-05,0.0038672574319504106,-0.02618072201938564,9.789425837797445
0.32,0,4,1,7.0523060078411755,57.65280477066261,0.5824860226680268,5.926802213585273,160,9,1,1,3,-1,0.08850000000000001,6.015302213585273,5.838302213585274,-0.04370443058101042,0.042068247300850986,-6.707804792936006e-05,-0.027729243185911204,-0.024015982916382118,9.775653248218772
0.352,0,4,1,7.6333305872312645,65.28613535789388,0.581024579390089,5.897752446059046,160,9,1,1,4,0,0.105,6.002752446059047,5.792752446059046,-0.04639247149569894,0.044744802557838574,-6.671041968239408e-05,-0.02886021532166574,-0.010975450508425504,9.85962929515641
0.384,0,4,1,5.885987833028316,71.17212319092219,-1.7473427542029487,5.987447951102787,160,9,1,4,8,3,0.387,6.28,5.600447951102787,-0.04906139082503807,0.04741407280466828,-6.64332998311784e-05,-0.02978184891852324,-0.006006432782070993,9.803539963435405
0.41600000000000004,0,4,1,6.469819985173149,77.64194317609534,0.5838321521448329,5.955925168589197,160,9,1,2,10,-2,0.207,6.162925168589197,5.7489251685891976,-0.051743071876756835,0.050109331119166066,-6.632447633888802e-05,0.020345775065640972,-0.007907454811313525,9.878168836980043
0.448,0,4,1,7.0523060078411755,84.69424918393652,0.5824860226680268,5.926802213585273,160,9,1,1,11,-1,0.14849999999999997,6.075302213585274,5.778302213585273,-0.054409459727332354,0.052833740045768476,-6.627287805917662e-05,0.010701621626342637,-0.030853650478670842,9.752592340149828
0.48,0,4,1,6.469819985173149,91.16406916910967,-0.5824860226680268,5.957091486764011,160,9,1,2,13,1,0.2565,6.2135914867640105,5.700591486764011,-0.0570493638792069,0.05555758280426315,-6.624357753381473e-05,-0.01430758986835063,-0.019949044364051642,9.735785062367336
0.512,0,4,1,6.469819985173149,97.63388915428281,0.0,5.956509000741343,160,9,1,2,15,0,0.26249999999999996,6.219009000741343,5.694009000741342,-0.05969361128773629,0.058304377850954485,-6.630572282037041e-05,0.029787100570719982,-0.015582788617897228,9.744559965474444
0.544,0,4,1,7.0523060078411755,104.686195162124,0.5824860226680268,5.926802213585273,160,9,1,0,15,-2,0.09449999999999999,6.021302213585273,5.832302213585273,-0.062321153900980274,0.06106666127546763,-6.638539181070754e-05,0.016161657538922212,-0.02679135623166263,9.852035275364132
