Time,SetPointAngle,SensorAngleRow,SensorAngleWidth,Angle,IntegralAngle,DeltaAngle,BaseSpeed,SetPointError,SensorErrorRow,SensorErrorWidth,Error,IntegralError,DeltaError,DeltaSpeed,LeftSpeed,RightSpeed,X,Y,Z,Roll,Pitch,Yaw
0.032,0,4,1,0.5729386976839008,0.5729386976839008,0.5729386976839008,5,160,9,1,0,0,0,0.0,5.0,5.0,-0.5615000000000011,0.12999999999999848,-6.397122042420787e-05,-4.3620539166896293e-07,1.0325584285277141e-07,9.779364542073948
0.064,0,4,1,0.5729386976839008,1.1458773953678016,0.0,5,160,9,1,0,0,0,0.0,5.0,5.0,-0.561499996739057,0.12680109296498548,-3.263914291996156e-05,3.7579497635417187,8.897202280819815e-08,9.64512742633478
0.096,0,4,1,0.5729386976839008,1.7188160930517025,0.0,5,160,9,1,0,0,0,0.0,5.0,5.0,-0.5614999947000867,0.1236003150931888,-6.060561528481445e-05,0.3191902424301975,-1.8210926045531859e-06,9.729227420831176
0.128,0,4,1,0.5729386976839008,2.2917547907356033,0.0,5,160,9,1,0,0,0,0.0,5.0,5.0,-0.5614999911226087,0.12040014458707818,-7.257757618374557e-05,-0.017214297471852238,1.0166536936848522e-06,9.854175303916646
0.16,0,4,1,0.5729386976839008,2.864693488419504,0.0,5,160,9,1,0,0,0,0.0,5.0,5.0,-0.5614999889363259,0.11720022556435067,-6.725878973419357e-05,0.14824926400395147,-1.7789991359439242e-06,9.84417617741369
0.192,0,4,1,0.5729386976839008,3.4376321861034045,0.0,5,160,9,1,0,0,0,0.0,5.0,5.0,-0.5614999867967562,0.11400028608192181,-6.714329775520285e-05,0.06788157514060202,-5.386636713652554e-07,9.797799232779543
0.224,0,4,1,0.5729386976839008,4.010570883787305,0.0,5,160,9,1,0,0,0,0.0,5.0,5.0,-0.5614999830096895,0.11080031163529276,-6.704602567158928e-05,-0.01663109538510546,1.2122609117260864e-06,9.81650508228959
0.256,0,4,1,0.5729386976839008,4.583509581471206,0.0,5,160,9,1,0,0,0,0.0,5.0,5.0,-0.5614999807239672,0.10760033650096032,-6.608108707778851e-05,-0.016655982557130373,-1.7548906347795873e-06,9.79112760147034
0.28800000000000003,0,4,1,0.5729386976839008,5.156448279155106,0.0,5,160,9,1,0,0,0,0.0,5.0,5.0,-0.5614999771061885,0.10440035409365987,-6.565456306365826e-05,-0.015437235731243297,1.0676984661421045e-06,9.789620632407132
0.32,0,4,1,0.5729386976839008,5.729386976839007,0.0,5,160,9,1,0,0,0,0.0,5.0,5.0,-0.5614999735657255,0.10120036817211985,-6.53171517516829e-05,-0.013467794996917448,-2.6323157679371096e-07,9.775886401114537
0.352,0,4,1,0.5729386976839008,6.3023256745229075,0.0,5,160,9,1,0,0,0,0.0,5.0,5.0,-0.5614999700863456,0.098000379440376,-6.504955045568556e-05,-0.01063105725415253,-2.1402216276463182e-07,9.859748666178643
0.384,0,4,1,0.5729386976839008,6.875264372206808,0.0,5,160,9,1,0,0,0,0.0,5.0,5.0,-0.5614999666549921,0.09480038846157302,-6.483631558055862e-05,-0.007155856749049228,-1.731406622899333e-07,9.803599419913851
0.41600000000000004,0,4,1,0.5729386976839008,7.448203069890709,0.0,5,160,9,1,0,0,0,0.0,5.0,5.0,-0.5614999632611979,0.09160039568669937,-6.466489771511999e-05,-0.0032384516433583733,-1.42341690268669e-07,9.878274472984575
0.448,0,4,1,0.5729386976839008,8.02114176757461,0.0,5,160,9,1,0,0,0,0.0,5.0,5.0,-0.5614999598965751,0.08840040147715958,-6.452545552191463e-05,0.0008564472282221878,-1.1853595207413114e-07,9.752616639235951
0.48,0,4,1,0.5729386976839008,8.59408046525851,0.0,5,160,9,1,0,0,0,0.0,5.0,5.0,-0.5614999565544131,0.08520040612232452,-6.441066124762175e-05,0.004862175926026114,-9.984357390086319e-08,9.735781462826486
